nGramConfig,minFrequency,notFeature,F1
1234,20,1,0.1075268817204301
1234,50,1,0.14432989690721648
1234,100,1,0.1616161616161616
1,1,0,N/A
1,2,0,N/A
1,3,0,N/A
1,4,0,N/A
1,5,0,N/A
1,10,0,N/A
1,15,0,N/A
1,20,0,N/A
1,50,0,N/A
1,100,0,0.022222222222222223
2,1,0,0.3050847457627119
2,2,0,0.3
2,3,0,0.3166666666666667
2,4,0,0.31147540983606564
2,5,0,0.3140495867768595
2,10,0,0.32
2,15,0,0.2926829268292683
2,20,0,0.35200000000000004
2,50,0,0.2809917355371901
2,100,0,0.304
3,1,0,0.39772727272727276
3,2,0,0.43902439024390244
3,3,0,0.44047619047619047
3,4,0,0.4125
3,5,0,0.4133333333333334
3,10,0,0.36363636363636365
3,15,0,0.368
3,20,0,0.34146341463414637
3,50,0,0.3185840707964602
3,100,0,0.28301886792452835
4,1,0,0.430379746835443
4,2,0,0.34426229508196726
4,3,0,0.2956521739130435
4,4,0,0.24074074074074073
4,5,0,0.24528301886792456
4,10,0,0.23300970873786406
4,15,0,0.22222222222222224
4,20,0,0.22222222222222224
4,50,0,0.18556701030927833
4,100,0,N/A
12,1,0,0.08695652173913043
12,2,0,0.08695652173913043
12,3,0,0.08695652173913043
12,4,0,0.08695652173913043
12,5,0,0.08695652173913043
12,10,0,0.08695652173913043
12,15,0,0.08695652173913043
12,20,0,0.08695652173913043
12,50,0,0.08602150537634408
12,100,0,0.021739130434782608
13,1,0,0.044444444444444446
13,2,0,0.044444444444444446
13,3,0,0.044444444444444446
13,4,0,0.044444444444444446
13,5,0,0.044444444444444446
13,10,0,0.044444444444444446
13,15,0,0.044444444444444446
13,20,0,0.044444444444444446
13,50,0,0.06451612903225806
13,100,0,0.12371134020618556
14,1,0,0.0449438202247191
14,2,0,0.0449438202247191
14,3,0,0.0449438202247191
14,4,0,0.0449438202247191
14,5,0,0.0449438202247191
14,10,0,0.0449438202247191
14,15,0,0.0449438202247191
14,20,0,0.0449438202247191
14,50,0,0.044444444444444446
14,100,0,0.022222222222222223
23,1,0,0.3140495867768595
23,2,0,0.3089430894308943
23,3,0,0.3252032520325204
23,4,0,0.32
23,5,0,0.3252032520325204
23,10,0,0.3565891472868217
23,15,0,0.31746031746031744
23,20,0,0.37499999999999994
23,50,0,0.3064516129032258
23,100,0,0.304
24,1,0,0.3025210084033613
24,2,0,0.2975206611570248
24,3,0,0.3140495867768595
24,4,0,0.3089430894308943
24,5,0,0.3140495867768595
24,10,0,0.32
24,15,0,0.3064516129032258
24,20,0,0.35200000000000004
24,50,0,0.29508196721311475
24,100,0,0.304
34,1,0,0.3932584269662922
34,2,0,0.43373493975903615
34,3,0,0.4352941176470588
34,4,0,0.40993788819875776
34,5,0,0.4105960264900662
34,10,0,0.3609022556390977
34,15,0,0.368
34,20,0,0.34146341463414637
34,50,0,0.3185840707964602
34,100,0,0.28301886792452835
123,1,0,0.1075268817204301
123,2,0,0.1075268817204301
123,3,0,0.1075268817204301
123,4,0,0.1075268817204301
123,5,0,0.1075268817204301
123,10,0,0.1075268817204301
123,15,0,0.1075268817204301
123,20,0,0.1075268817204301
123,50,0,0.10526315789473682
123,100,0,0.12371134020618556
124,1,0,0.1075268817204301
124,2,0,0.1075268817204301
124,3,0,0.1075268817204301
124,4,0,0.1075268817204301
124,5,0,0.1075268817204301
124,10,0,0.1075268817204301
124,15,0,0.1075268817204301
124,20,0,0.1075268817204301
124,50,0,0.10638297872340424
124,100,0,0.021739130434782608
234,1,0,0.3140495867768595
234,2,0,0.3089430894308943
234,3,0,0.3252032520325204
234,4,0,0.32
234,5,0,0.3252032520325204
234,10,0,0.3565891472868217
234,15,0,0.3307086614173228
234,20,0,0.37499999999999994
234,50,0,0.32
234,100,0,0.304
1234,1,0,0.1075268817204301
1234,2,0,0.1075268817204301
1234,3,0,0.1075268817204301
1234,4,0,0.1075268817204301
1234,5,0,0.1075268817204301
1234,10,0,0.1075268817204301
1234,15,0,0.1075268817204301
1234,20,0,0.1075268817204301
1234,50,0,0.125
1234,100,0,0.12371134020618556
